"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_PARTY_JOINED","%1 joined the party.","%1 joined the party.","%1 joined the party.","%1 joined the party.","%1 joined the party.","%1 joined the party.","%1 joined the party.","%1 joined the party.","%1 joined the party.","%1 a rejoint l'équipe.","%1 joined the party.","%1 joined the party.","%1 joined the party.","%1 joined the party."
"STR_PARTY_LEFT","%1 left the party.","%1 left the party.","%1 left the party.","%1 left the party.","%1 left the party.","%1 left the party.","%1 left the party.","%1 left the party.","%1 left the party.","%1 a quitté l'équipe.","%1 left the party.","%1 left the party.","%1 left the party.","%1 left the party."
"STR_PARTY_KICKED","%1 was removed from the party.","%1 was removed from the party.","%1 was removed from the party.","%1 was removed from the party.","%1 was removed from the party.","%1 was removed from the party.","%1 was removed from the party.","%1 was removed from the party.","%1 was removed from the party.","%1 a été exclu de l'équipe.","%1 was removed from the party.","%1 was removed from the party.","%1 was removed from the party.","%1 was removed from the party."
"STR_PARTY_YOU_KICKED","You were removed from the party.","You were removed from the party.","You were removed from the party.","You were removed from the party.","You were removed from the party.","You were removed from the party.","You were removed from the party.","You were removed from the party.","You were removed from the party.","Vous avez été exclu de l'équipe.","You were removed from the party.","You were removed from the party.","You were removed from the party.","You were removed from the party."
"STR_PARTY_DISBANDED","The party was disbanded.","The party was disbanded.","The party was disbanded.","The party was disbanded.","The party was disbanded.","The party was disbanded.","The party was disbanded.","The party was disbanded.","The party was disbanded.","L'équipe a été dissoute.","The party was disbanded.","The party was disbanded.","The party was disbanded.","The party was disbanded."
"STR_PARTY_NEW_LEADER","%1 is now the party leader.","%1 is now the party leader.","%1 is now the party leader.","%1 is now the party leader.","%1 is now the party leader.","%1 is now the party leader.","%1 is now the party leader.","%1 is now the party leader.","%1 is now the party leader.","%1 est désormais chef d'équipe.","%1 is now the party leader.","%1 is now the party leader.","%1 is now the party leader.","%1 is now the party leader."
"STR_PARTY_FULL","The party is full.","The party is full.","The party is full.","The party is full.","The party is full.","The party is full.","The party is full.","The party is full.","The party is full.","L'équipe est complète.","The party is full.","The party is full.","The party is full.","The party is full."
"STR_PARTY_LOCKED","Party changes are locked during a match.","Party changes are locked during a match.","Party changes are locked during a match.","Party changes are locked during a match.","Party changes are locked during a match.","Party changes are locked during a match.","Party changes are locked during a match.","Party changes are locked during a match.","Party changes are locked during a match.","Les changements d'équipe sont verrouillés pendant un match.","Party changes are locked during a match.","Party changes are locked during a match.","Party changes are locked during a match.","Party changes are locked during a match."
"STR_PARTY_NOT_LEADER","Only the party leader can do that.","Only the party leader can do that.","Only the party leader can do that.","Only the party leader can do that.","Only the party leader can do that.","Only the party leader can do that.","Only the party leader can do that.","Only the party leader can do that.","Only the party leader can do that.","Seul le chef d'équipe peut faire cela.","Only the party leader can do that.","Only the party leader can do that.","Only the party leader can do that.","Only the party leader can do that."
"STR_PARTY_ALREADY_IN_PARTY","You are already in a party.","You are already in a party.","You are already in a party.","You are already in a party.","You are already in a party.","You are already in a party.","You are already in a party.","You are already in a party.","You are already in a party.","Vous êtes déjà dans une équipe.","You are already in a party.","You are already in a party.","You are already in a party.","You are already in a party."
"STR_PARTY_TARGET_IN_PARTY","%1 is already in a party.","%1 is already in a party.","%1 is already in a party.","%1 is already in a party.","%1 is already in a party.","%1 is already in a party.","%1 is already in a party.","%1 is already in a party.","%1 is already in a party.","%1 est déjà dans une équipe.","%1 is already in a party.","%1 is already in a party.","%1 is already in a party.","%1 is already in a party."
"STR_PARTY_PLAYER_OFFLINE","%1 is not online.","%1 is not online.","%1 is not online.","%1 is not online.","%1 is not online.","%1 is not online.","%1 is not online.","%1 is not online.","%1 is not online.","%1 n'est pas connecté.","%1 is not online.","%1 is not online.","%1 is not online.","%1 is not online."
"STR_PARTY_DISABLED","Parties are disabled on this server.","Parties are disabled on this server.","Parties are disabled on this server.","Parties are disabled on this server.","Parties are disabled on this server.","Parties are disabled on this server.","Parties are disabled on this server.","Parties are disabled on this server.","Parties are disabled on this server.","Les équipes sont désactivées sur ce serveur.","Parties are disabled on this server.","Parties are disabled on this server.","Parties are disabled on this server.","Parties are disabled on this server."
"STR_PARTY_HUD_OFFLINE","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Hors ligne","Offline","Offline","Offline","Offline"
"STR_PARTY_HUD_DEAD","Dead","Dead","Dead","Dead","Dead","Dead","Dead","Dead","Dead","Mort","Dead","Dead","Dead","Dead"
"STR_PARTY_UNKNOWN_MEMBER","Unknown player","Unknown player","Unknown player","Unknown player","Unknown player","Unknown player","Unknown player","Unknown player","Unknown player","Joueur inconnu","Unknown player","Unknown player","Unknown player","Unknown player"
"STR_PARTY_PING_NO_PARTY","Join a party to place a ping.","Join a party to place a ping.","Join a party to place a ping.","Join a party to place a ping.","Join a party to place a ping.","Join a party to place a ping.","Join a party to place a ping.","Join a party to place a ping.","Join a party to place a ping.","Rejoignez une équipe pour placer un repère.","Join a party to place a ping.","Join a party to place a ping.","Join a party to place a ping.","Join a party to place a ping."
"STR_PARTY_PING_NO_TARGET","Nothing to ping there.","Nothing to ping there.","Nothing to ping there.","Nothing to ping there.","Nothing to ping there.","Nothing to ping there.","Nothing to ping there.","Nothing to ping there.","Nothing to ping there.","Rien à marquer par ici.","Nothing to ping there.","Nothing to ping there.","Nothing to ping there.","Nothing to ping there."
"STR_PARTY_PING_DISABLED","Pings are disabled on this server.","Pings are disabled on this server.","Pings are disabled on this server.","Pings are disabled on this server.","Pings are disabled on this server.","Pings are disabled on this server.","Pings are disabled on this server.","Pings are disabled on this server.","Pings are disabled on this server.","Les repères sont désactivés sur ce serveur.","Pings are disabled on this server.","Pings are disabled on this server.","Pings are disabled on this server.","Pings are disabled on this server."
"STR_PARTY_PING_CLEARED","Your pings were cleared.","Your pings were cleared.","Your pings were cleared.","Your pings were cleared.","Your pings were cleared.","Your pings were cleared.","Your pings were cleared.","Your pings were cleared.","Your pings were cleared.","Vos repères ont été effacés.","Your pings were cleared.","Your pings were cleared.","Your pings were cleared.","Your pings were cleared."
